title,built_date,bedrooms,district,unit_price,transaction_date,位置,经纬度
丽泽荷亭苑,2009,l4,pudong,9256,2016.07.23,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l4,pudong,18029,2021.05.11,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l4,pudong,15178,2019.12.29,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
丽泽荷亭苑,2009,l4,pudong,13697,2019.09.22,上海市浦东新区丽泽荷亭苑,"121.875160,30.975315"
中惠广场,2008,l1,pudong,17721,2021.08.23,上海市浦东新区中惠广场,"121.609695,31.253231"
中惠广场,2008,l1,pudong,37154,2021.11.07,上海市浦东新区中惠广场,"121.609695,31.253231"
中惠广场,2008,l1,pudong,38321,2021.03.21,上海市浦东新区中惠广场,"121.609695,31.253231"
中惠广场,2008,l1,pudong,34731,2021.03.07,上海市浦东新区中惠广场,"121.609695,31.253231"
中惠广场,2008,l1,pudong,37427,2021.02.21,上海市浦东新区中惠广场,"121.609695,31.253231"
天环苑,2008,l1,pudong,33043,2021.08.15,上海市浦东新区天环苑,"121.738075,31.170977"
天环苑,2008,l3,pudong,29315,2021.04.17,上海市浦东新区天环苑,"121.738075,31.170977"
供销三村,1984,l2,pudong,22423,2021.10.20,上海市浦东新区供销三村,"121.763748,31.046043"
悦天地,2016,l2,pudong,27054,2021.10.10,上海市浦东新区悦天地,"121.672408,31.272392"
听潮六村,1994,l2,pudong,30167,2021.08.29,上海市浦东新区听潮六村,"121.743423,31.045002"
听潮六村,1994,l2,pudong,29007,2021.08.22,上海市浦东新区听潮六村,"121.743423,31.045002"
听潮六村,1994,l2,pudong,24571,2021.10.11,上海市浦东新区听潮六村,"121.743423,31.045002"
听潮六村,1994,l2,pudong,29585,2021.11.20,上海市浦东新区听潮六村,"121.743423,31.045002"
听潮六村,1994,l2,pudong,29287,2021.09.17,上海市浦东新区听潮六村,"121.743423,31.045002"
听潮六村,2000,l2,pudong,29731,2021.08.29,上海市浦东新区听潮六村,"121.743423,31.045002"
听潮六村,1996,l2,pudong,24351,2021.09.24,上海市浦东新区听潮六村,"121.743423,31.045002"
听潮六村,1995,l2,pudong,25155,2021.06.23,上海市浦东新区听潮六村,"121.743423,31.045002"
听潮六村,1996,l4,pudong,21901,2020.05.24,上海市浦东新区听潮六村,"121.743423,31.045002"
卫星东路50弄,1978,l3,pudong,27673,2021.01.18,上海市浦东新区卫星东路50弄,"121.761649,31.043306"
南粮新村,1989,l3,pudong,21598,2020.06.14,上海市浦东新区南粮新村,"121.761162,31.048147"
南粮新村,1994,l3,pudong,22906,2019.07.20,上海市浦东新区南粮新村,"121.761162,31.048147"
绿地东海岸时尚广场,2014,l4,pudong,15803,2016.03.07,上海市浦东新区绿地东海岸时尚广场,"121.609784,31.102415"
