title,build_time,price,unit_price,transaction_date,district,bedrooms
书院一号公寓 1室1厅 71.18平米,高楼层(共13层) 2009年建板楼,148,20737,2021.02.04,pudong,l1
书院一号公寓 1室1厅 71.18平米,中楼层(共13层) 2009年建板楼,140,19669,2020.09.19,pudong,l1
绿地东岸涟城 1室1厅 74.46平米,低楼层(共11层) 2008年建板楼,190,25518,2020.09.16,pudong,l1
书院一号公寓 1室1厅 71.31平米,高楼层(共13层) 2009年建板楼,137,19156,2020.05.30,pudong,l1
云帆名苑 1室2厅 76.06平米,低楼层(共10层) 2007年建板楼,130,17066,2020.04.29,pudong,l1
金桥中环大厦 2房间1卫 79.06平米,中楼层(共27层) 2007年建板塔结合,158,19985,2020.04.17,pudong,l1
书院一号公寓 1室1厅 71.18平米,中楼层(共13层) 2009年建板楼,131,18348,2020.03.19,pudong,l1
丽都华庭 1室2厅 73.36平米,低楼层(共13层) 2014年建板楼,170,23174,2019.12.04,pudong,l1
金桥中环大厦 2房间1卫 80平米,高楼层(共27层) 2007年建板塔结合,163,20375,2019.11.18,pudong,l1
艺泰安邦 1室1厅 70.46平米,高楼层(共11层) 2010年建板楼,180,25547,2019.08.26,pudong,l1
碧云青年汇(二期) 2房间1卫 83.68平米,中楼层(共18层) 2007年建塔楼,188,22467,2019.07.02,pudong,l1
宜浩佳园 1室2厅 77.32平米,低楼层(共4层) 2009年建板楼,175,22634,2019.06.22,pudong,l1
云帆名苑 1室1厅 76.06平米,低楼层(共10层) 2007年建板楼,128,16764,2019.06.22,pudong,l1
书院一号公寓 1室2厅 71.31平米,中楼层(共13层) 2009年建板楼,139,19423,2019.05.05,pudong,l1
书院一号公寓 1室1厅 71.18平米,中楼层(共13层) 2009年建板楼,132,18545,2019.03.31,pudong,l1
宜浩佳园 1室2厅 76.42平米,高楼层(共4层) 2009年建板楼,187,24471,2019.02.24,pudong,l1
宜浩佳园 1室2厅 75.97平米,高楼层(共4层) 2009年建板楼,185,24326,2018.12.06,pudong,l1
宜浩佳园 1室2厅 78.08平米,低楼层(共4层) 2009年建板楼,195,24975,2018.11.21,pudong,l1
云帆雅苑 1室1厅 76.06平米,高楼层(共10层) 2007年建板楼,157,20642,2017.11.15,pudong,l1
万祥馨苑 1室1厅 70.96平米,低楼层(共11层) 2008年建板楼,148,20857,2017.10.10,pudong,l1
云帆佳苑 1室1厅 76.06平米,高楼层(共10层) 2007年建板楼,158,20774,2017.04.22,pudong,l1
